通知人,标题,日期,链接
质量办,关于举办福州大学第六十八场“教学有道”研讨活动的通知,"
2025-04-23
         ",../info/1040/14011.htm
实践科,关于举办福州大学第九届网络信息安全竞赛的通知,"
2025-04-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14010
实践科,关于组织申报2025年大学生劳动教育实践基地的通知,"
2025-04-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14008
教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,"
2025-04-22
         ",../info/1036/14007.htm
质量办,关于开展2025届本科毕业生在校学习体验调研的通知,"
2025-04-22
         ",../info/1040/14006.htm
教学通知,关于开展2025届本科毕业生在校学习体验调研的通知,"
2025-04-22
         ",../info/1012/14005.htm
教学运行,关于2026届预计毕业生核对电子注册学历信息的通知,"
2025-04-17
         ",../info/1036/14002.htm
实践科,关于举办2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,"
2025-04-16
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13999
质量办,关于举办福州大学第六十七场“教学有道”研讨活动——暨2025年全国周培源大学生力学竞赛进校园活动的通知,"
2025-04-16
         ",../info/1040/13997.htm
实践科,关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,"
2025-04-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995
实践科,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,"
2025-04-14
         ",../info/1039/13993.htm
教材中心,2025年福建省高校教材联合巡展 （福州大学）活动通知,"
2025-04-11
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13991
教学运行,关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,"
2025-04-11
         ",../info/1036/13989.htm
教学运行,关于2025届预计毕业生补拍电子注册学历照片的通知,"
2025-04-10
         ",../info/1036/13988.htm
教研教改,福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,"
2025-04-09
         ",../info/1037/13986.htm
质量办,关于开展2025年春季学期本科实验教学专项检查的通知,"
2025-04-08
         ",../info/1040/13983.htm
质量办,关于开展2024年新上岗教师课堂授课达标考核的通知,"
2025-04-07
         ",../info/1040/13982.htm
质量办,关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-04-07
         ",../info/1040/13981.htm
实践科,关于开展大学生校外实践教学基地检查评估工作的通知,"
2025-04-02
         ",../info/1039/13977.htm
教学运行,关于2025年清明节放假课程调整的通知,"
2025-04-01
         ",../info/1036/13976.htm
教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,"
2025-04-01
         ",../info/1036/13974.htm
实践科,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,"
2025-03-31
         ",../info/1039/13973.htm
实践科,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,"
2025-03-24
         ",../info/1039/13948.htm
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,"
2025-03-24
         ",../info/1036/13947.htm
质量办,关于举办第六十五场“教学有道”研讨活动的通知,"
2025-03-20
         ",../info/1040/13945.htm
实践科,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,"
2025-03-19
         ",../info/1039/13935.htm
教学运行,关于做好2025-2026学年第一学期排课准备工作的通知,"
2025-03-11
         ",../info/1036/13908.htm
计划科,关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,"
2025-03-11
         ",../info/1038/13907.htm
质量办,关于举办福州大学第六十四场“教学有道”研讨活动的通知,"
2025-03-11
         ",../info/1040/13905.htm
教学运行,关于做好2025年3月退役复学学生转专业的通知,"
2025-03-10
         ",../info/1036/13904.htm
教学运行,关于2024-2025学年第二学期重新学习选课、缴费的通知,"
2025-03-10
         ",../info/1036/13903.htm
质量办,关于开展2025年春季学期申请类督导听课工作的通知,"
2025-03-07
         ",../info/1040/13901.htm
